"code","age_interpretation","name","year_step_size","reference_date","gender_is_applicable","default_variant","demographic_value_unit"
"as_fert","Age of mother (years)","Age-specific fertility","5","2000-07-01","false","unwpp_medium","Births per woman in age band"
"birth_mf","N/A","Sex Ratio at Birth","5","2000-07-01","false","unwpp_medium","Male births per female birth"
"births","N/A","Number of births","1","2000-01-01","false","unwpp_medium","Number of births"
"cbr","N/A","Crude birth rate","1","2000-01-01","false","unwpp_medium","Births per person in population"
"cdr","N/A","Crude death rate","1","2000-01-01","false","unwpp_medium","Deaths per person in population"
"cm_u5mr","Under 5 years","Under 5 mortality rate","1","2000-07-01","false","cm_medium","Deaths per live birth"
"cm_imr","Under 1 years","Under 1 mortality rate","1","2000-07-01","false","cm_medium","Deaths per live birth"
"cm_nmr","1 years","Neonatal (28 day) mortality","1","2000-07-01","false","cm_medium","Deaths per live birth"
"fert_tot","N/A","Total births per woman","1","2000-01-01","false","unwpp_medium","Number of births"
"int_pop","Age (years)","Interpolated Population","1","2000-07-01","true","unwpp_medium","Number of people"
"life_ex","Age (years)","Expected remaining years of life","5","2000-07-01","true","unwpp_medium","Years"
"lx0","N/A","Life expectancy at birth","1","2000-01-01","true","unwpp_medium","Years"
"mort_age","5 years","Number of deaths by age","5","2000-07-01","true","unwpp_medium","Number of deaths"
"mort_tot","N/A","Total deaths","1","2000-01-01","true","unwpp_medium","Number of deaths"
"n_survivors","Age (years)","Number of survivors from a birth-cohort of 100,000","5","2000-07-01","true","unwpp_medium","Number of survivors"
"net_mig_rate","N/A","Net Migration Rate","5","2000-07-01","false","unwpp_medium","Net rate of migration"
"qq_births","N/A","Quinquennial number of births","5","2000-07-01","false","unwpp_medium","Number of births"
"qq_pop","Age (years)","Quinquennial Population","5","2000-07-01","true","unwpp_medium","Number of people"
"p_dying","Age (years)","Probability of dying in a given age range","5","2000-07-01","true","unwpp_medium","Probability"
"tot_pop","Age (years)","Total Population","1","2000-07-01","true","unwpp_medium","Number of people"
